Nombre,Voto
Aida Marina Quilcué Vivas,Sí
María José Pizarro Rodríguez,Sí
Alejandro Alberto Vega Pérez,Sí
Alejandro Carlos Chacón Camargo,Sí
Alexander López Maya,Sí
Alfredo Rafael Deluque Zuleta,Sí
Julio Elías Chagüi Flórez,Sí
Ariel Fernando Ávila Martínez,Sí
Jonathan Ferney Pulido Hernández,Sí
Carlos Fernando Motoa Solarte,Ausente
David Andrés Luna Sanchez,Sí
Jorge Enrique Benedetti Martelo,Ausente
Fabio Raúl Amín Saleme,Sí
Germán Alcides Blanco Álvarez,Ausente
Juan Carlos García Gómez,Sí
Óscar Barreto Quiroga,Sí
Óscar Mauricio Giraldo Hernández,Sí
Humberto De La Calle Lombana,Sí
Julián Gallo,Sí
María Fernanda Cabal Molina,Ausente
Paloma Susana Valencia Laserna,Ausente
Roy Leonarlo Barreras Montealegre,Ausente
