Nombre,Voto
Aida Marina Quilcué Vivas,Sí
María José Pizarro Rodríguez,Sí
Martha Isabel Peralta Epieyú,Sí
Julio César Estrada Cordero,Sí
Aida Yolanda Avella Esquivel,Sí
Clara Eugenia López Obregón,Sí
Jahel Quiroga Carrillo,Sí
Alejandro Alberto Vega Pérez,Sí
Alejandro Carlos Chacón Camargo,Sí
Claudia María Pérez Giraldo,Sí
Jaime Enrique Durán Barrera,Sí
Jhon Jairo Roldán Avendaño,Sí
Juan Diego Echavarría Sánchez,Sí
Juan Pablo Gallo Maya,Ausente
Karina Espinosa Oliver,Ausente
Laura Ester Fortich Sánchez,Sí
Lidio Arturo García Turbay,Sí
Mauricio Gómez Amín,Sí
Miguel Ángel Pinto Hernández,Ausente
Alex Xavier Flórez Hernández,Sí
Gloria Inés Flórez Schneider,Sí
Isabel Cristina Zuleta López,Sí
Yuly Esmeralda Hernández Silva,Sí
Alexander López Maya,Sí
Iván Cepeda Castro,Sí
Robert Daza Guevara,Sí
Sandra Yaneth Jaimes Cruz,Sí
Wilson Neber Arias Castillo,Ausente
Alfredo Rafael Deluque Zuleta,Sí
Antonio José Correa Jiménez,Ausente
John Moisés Besaile Fayad,Sí
Jose Alfredo Gnecco Zuleta,Sí
José David Name Cardozo,Sí
Juan Carlos Garcés Rojas,Sí
Juan Felipe Lemos Uribe,Sí
Julio Elías Chagüi Flórez,Ausente
Norma Hurtado Sánchez,Ausente
Julio Alberto Elías Vidal,Sí
Ana Carolina Espitia Jerez,Sí
Andrea Padilla Villarraga,Sí
Angélica Lisbeth Lozano Correa,Sí
Ariel Fernando Ávila Martínez,Sí
Edwing Fabián Díaz Plata,Sí
Inti Raúl Asprilla Reyes,Sí
Iván Leonidas Name Vásquez,Sí
Jonathan Ferney Pulido Hernández,Sí
Ana María Castañeda Gómez,Sí
Antonio Luis Zabaraín Guevara,Sí
Carlos Abraham Jiménez López,Ausente
Carlos Fernando Motoa Solarte,Sí
Carlos Mario Farelo Daza,Sí
David Andrés Luna Sanchez,Ausente
Didier Lobo Chinchilla,Sí
Edgar Jesús Díaz Contreras,Ausente
Jorge Enrique Benedetti Martelo,Sí
José Luis Pérez Oyuela,Ausente
Carlos Julio González Villa,Ausente
Ana Paola Agudelo García,Sí
Carlos Eduardo Guevara Villabón,Sí
Manuel Antonio Virguez Piraquive,Sí
Andrés Felipe Guerra Hoyos,No
Carlos Manuel Meisel Vergara,Ausente
Ciro Alejandro Ramírez Cortés,Ausente
Enrique Cabrales Baquero,Ausente
Esteban Quintero Cardona,Sí
Honorio Miguel Henríquez Pinedo,Sí
José Vicente Carreño Castro,Sí
Josué Alirio Barrera Rodríguez,Sí
María Fernanda Cabal Molina,Ausente
Miguel Uribe Turbay,Ausente
Paloma Susana Valencia Laserna,Ausente
Paola Andrea Holguín Moreno,Ausente
Yenny Esperanza Rozo Zambrano,Ausente
Beatriz Lorena Ríos Cuellar,Ausente
Carlos Andrés Trujillo González,Sí
Diela Liliana Benavides Solarte,Ausente
Efraín José Cepeda Sarabia,Sí
Germán Alcides Blanco Álvarez,Sí
José Alfredo Marín Lozano,Sí
Juan Carlos García Gómez,Sí
Juan Samy Merheg Marún,Ausente
Liliana Esther Bitar Castilla,Ausente
Marcos Daniel Pineda García,Sí
Miguel Ángel Barreto Castillo,Sí
Nadya Georgette Blel Scaff,Sí
Nicolás Albeiro Echeverry Alvarán,Sí
Óscar Barreto Quiroga,Sí
Óscar Mauricio Giraldo Hernández,Ausente
Soledad Tamayo Tamayo,Sí
Fabio Raúl Amín Saleme,Sí
Guido Echeverry Piedrahita,Sí
Gustavo Adolfo Moreno Hurtado,Sí
Jairo Alberto Castellanos Serrano,Ausente
Sor Berenice Bedoya Pérez,Sí
Humberto De La Calle Lombana,Ausente
Imelda Daza Cotes,Sí
Julián Gallo,Sí
Omar De Jesús Restrepo,Sí
Pablo Catatumbo Torres,Ausente
Sandra Lobo,Sí
Paulino Riascos Riascos,Ausente
Pedro Hernando Flórez Porras,Sí
Piedad Esneda Córdoba Ruíz,Ausente
Roy Leonarlo Barreras Montealegre,Sí
Carlos Alberto Benavides Mora,Sí
Catalina del Socorro Pérez Pérez,Sí
Polivio Leandro Rosales Cadena,Ausente
