Nombre,Voto
Aida Marina Quilcué Vivas,Sí
María José Pizarro Rodríguez,Ausente
Martha Isabel Peralta Epieyú,Sí
Aida Yolanda Avella Esquivel,Sí
Clara Eugenia López Obregón,Sí
Jahel Quiroga Carrillo,Sí
Alejandro Alberto Vega Pérez,Sí
Alejandro Carlos Chacón Camargo,Ausente
Claudia María Pérez Giraldo,Sí
Jaime Enrique Durán Barrera,Ausente
Jhon Jairo Roldán Avendaño,Sí
Juan Diego Echavarría Sánchez,No
Juan Pablo Gallo Maya,Ausente
Karina Espinosa Oliver,Sí
Laura Ester Fortich Sánchez,Sí
Lidio Arturo García Turbay,Ausente
Mario Alberto Castaño Pérez,Ausente
Mauricio Gómez Amín,Ausente
Miguel Ángel Pinto Hernández,Sí
Alex Xavier Flórez Hernández,Ausente
Gloria Inés Flórez Schneider,Sí
Isabel Cristina Zuleta López,Sí
Yuly Esmeralda Hernández Silva,Sí
Alexander López Maya,Sí
Iván Cepeda Castro,Ausente
Robert Daza Guevara,Sí
Sandra Yaneth Jaimes Cruz,Sí
Wilson Neber Arias Castillo,Ausente
Alfredo Rafael Deluque Zuleta,Sí
Antonio José Correa Jiménez,Sí
John Moisés Besaile Fayad,Sí
Jose Alfredo Gnecco Zuleta,Sí
José David Name Cardozo,Sí
Juan Carlos Garcés Rojas,Sí
Juan Felipe Lemos Uribe,Ausente
Julio Elías Chagüi Flórez,Sí
Norma Hurtado Sánchez,Sí
Julio Alberto Elías Vidal,Sí
Ana Carolina Espitia Jerez,Ausente
Andrea Padilla Villarraga,Ausente
Angélica Lisbeth Lozano Correa,Ausente
Ariel Fernando Ávila Martínez,Sí
Edwing Fabián Díaz Plata,Sí
Inti Raúl Asprilla Reyes,Sí
Iván Leonidas Name Vásquez,Sí
Jonathan Ferney Pulido Hernández,Sí
Ana María Castañeda Gómez,Ausente
Antonio Luis Zabaraín Guevara,Ausente
Carlos Abraham Jiménez López,Ausente
Carlos Fernando Motoa Solarte,Ausente
Carlos Mario Farelo Daza,Sí
David Andrés Luna Sanchez,Ausente
Didier Lobo Chinchilla,Ausente
Edgar Jesús Díaz Contreras,Sí
Jorge Enrique Benedetti Martelo,Ausente
José Luis Pérez Oyuela,Ausente
Carlos Julio González Villa,Ausente
Ana Paola Agudelo García,Ausente
Carlos Eduardo Guevara Villabón,Ausente
Manuel Antonio Virguez Piraquive,Ausente
Andrés Felipe Guerra Hoyos,Ausente
Carlos Manuel Meisel Vergara,No
Ciro Alejandro Ramírez Cortés,No
Enrique Cabrales Baquero,No
Esteban Quintero Cardona,No
Honorio Miguel Henríquez Pinedo,Ausente
José Vicente Carreño Castro,No
Josué Alirio Barrera Rodríguez,No
María Fernanda Cabal Molina,Ausente
Miguel Uribe Turbay,Ausente
Paloma Susana Valencia Laserna,Ausente
Paola Andrea Holguín Moreno,Ausente
Yenny Esperanza Rozo Zambrano,Ausente
Beatriz Lorena Ríos Cuellar,Sí
Carlos Andrés Trujillo González,Sí
Diela Liliana Benavides Solarte,No
Efraín José Cepeda Sarabia,Ausente
Germán Alcides Blanco Álvarez,Sí
José Alfredo Marín Lozano,Ausente
Juan Carlos García Gómez,Ausente
Juan Samy Merheg Marún,Sí
Liliana Esther Bitar Castilla,Ausente
Marcos Daniel Pineda García,Ausente
Miguel Ángel Barreto Castillo,Sí
Nadya Georgette Blel Scaff,Ausente
Nicolás Albeiro Echeverry Alvarán,Ausente
Óscar Barreto Quiroga,Sí
Óscar Mauricio Giraldo Hernández,Ausente
Soledad Tamayo Tamayo,Sí
Fabio Raúl Amín Saleme,Ausente
Guido Echeverry Piedrahita,Sí
Gustavo Adolfo Moreno Hurtado,Sí
Jairo Alberto Castellanos Serrano,Sí
Sor Berenice Bedoya Pérez,Sí
Humberto De La Calle Lombana,Sí
Imelda Daza Cotes,Ausente
Julián Gallo,Sí
Omar De Jesús Restrepo,Sí
Pablo Catatumbo Torres,Ausente
Sandra Lobo,Sí
Paulino Riascos Riascos,Sí
Pedro Hernando Flórez Porras,Sí
Piedad Esneda Córdoba Ruíz,Ausente
Roy Leonarlo Barreras Montealegre,Sí
Carlos Alberto Benavides Mora,Ausente
Catalina del Socorro Pérez Pérez,Sí
Polivio Leandro Rosales Cadena,Sí
Rodolfo Hernández Suárez,Ausente
