Nombre,Voto
Aida Marina Quilcué Vivas,Sí
César Augusto Pachón Achury,Sí
María José Pizarro Rodríguez,Ausente
Martha Isabel Peralta Epieyú,Sí
Aida Yolanda Avella Esquivel,Sí
Clara Eugenia López Obregón,Sí
Jahel Quiroga Carrillo,Sí
Alejandro Alberto Vega Pérez,Sí
Alejandro Carlos Chacón Camargo,Ausente
Claudia María Pérez Giraldo,Sí
Jaime Enrique Durán Barrera,Sí
Jhon Jairo Roldán Avendaño,Ausente
Juan Diego Echavarría Sánchez,Sí
Juan Pablo Gallo Maya,Sí
Karina Espinosa Oliver,Sí
Laura Ester Fortich Sánchez,Sí
Lidio Arturo García Turbay,Ausente
Mario Alberto Castaño Pérez,Ausente
Mauricio Gómez Amín,Sí
Miguel Ángel Pinto Hernández,Ausente
Alex Xavier Flórez Hernández,Ausente
Gloria Inés Flórez Schneider,Ausente
Isabel Cristina Zuleta López,Sí
Yuly Esmeralda Hernández Silva,Sí
Alexander López Maya,Sí
Iván Cepeda Castro,Sí
Robert Daza Guevara,Sí
Sandra Yaneth Jaimes Cruz,Sí
Wilson Neber Arias Castillo,Sí
Alfredo Rafael Deluque Zuleta,Sí
Antonio José Correa Jiménez,Ausente
Berner León Zambrano Eraso,Ausente
John Moisés Besaile Fayad,Ausente
Jose Alfredo Gnecco Zuleta,Sí
José David Name Cardozo,Sí
Juan Carlos Garcés Rojas,Sí
Juan Felipe Lemos Uribe,Sí
Julio Elías Chagüi Flórez,Ausente
Norma Hurtado Sánchez,Sí
Ana Carolina Espitia Jerez,Sí
Andrea Padilla Villarraga,Sí
Angélica Lisbeth Lozano Correa,Sí
Ariel Fernando Ávila Martínez,Sí
Edwing Fabián Díaz Plata,Sí
Inti Raúl Asprilla Reyes,Sí
Iván Leonidas Name Vásquez,Ausente
Jonathan Ferney Pulido Hernández,Sí
Ana María Castañeda Gómez,Ausente
Antonio Luis Zabaraín Guevara,Sí
Arturo Char Chaljub,Ausente
Carlos Abraham Jiménez López,Ausente
Carlos Fernando Motoa Solarte,No
Carlos Mario Farelo Daza,Ausente
David Andrés Luna Sanchez,Sí
Didier Lobo Chinchilla,Sí
Edgar Jesús Díaz Contreras,Sí
Jorge Enrique Benedetti Martelo,Ausente
José Luis Pérez Oyuela,Ausente
Ana Paola Agudelo García,Ausente
Carlos Eduardo Guevara Villabón,Sí
Manuel Antonio Virguez Piraquive,Sí
Andrés Felipe Guerra Hoyos,No
Carlos Manuel Meisel Vergara,No
Ciro Alejandro Ramírez Cortés,No
Enrique Cabrales Baquero,Ausente
Esteban Quintero Cardona,No
Honorio Miguel Henríquez Pinedo,Ausente
José Vicente Carreño Castro,No
Josué Alirio Barrera Rodríguez,No
María Fernanda Cabal Molina,No
Miguel Uribe Turbay,No
Paloma Susana Valencia Laserna,No
Paola Andrea Holguín Moreno,No
Yenny Esperanza Rozo Zambrano,No
Beatriz Lorena Ríos Cuellar,Sí
Carlos Andrés Trujillo González,Ausente
Diela Liliana Benavides Solarte,Ausente
Efraín José Cepeda Sarabia,Sí
Germán Alcides Blanco Álvarez,Sí
José Alfredo Marín Lozano,Ausente
Juan Carlos García Gómez,Sí
Juan Samy Merheg Marún,Ausente
Liliana Esther Bitar Castilla,Sí
Marcos Daniel Pineda García,Sí
Miguel Ángel Barreto Castillo,Sí
Nadya Georgette Blel Scaff,Ausente
Nicolás Albeiro Echeverry Alvarán,Sí
Óscar Barreto Quiroga,Sí
Óscar Mauricio Giraldo Hernández,No
Soledad Tamayo Tamayo,Ausente
Fabio Raúl Amín Saleme,Sí
Guido Echeverry Piedrahita,Sí
Gustavo Adolfo Moreno Hurtado,Sí
Jairo Alberto Castellanos Serrano,Sí
Sor Berenice Bedoya Pérez,Sí
Gustavo Bolívar Moreno,Sí
Pedro Hernando Flórez Porras,Ausente
Piedad Esneda Córdoba Ruíz,Ausente
Roy Leonarlo Barreras Montealegre,Sí
Humberto De La Calle Lombana,Sí
Imelda Daza Cotes,Sí
Julián Gallo,Sí
Omar De Jesús Restrepo,Sí
Pablo Catatumbo Torres,Ausente
Sandra Lobo,Sí
Paulino Riascos Riascos,Sí
Polivio Leandro Rosales Cadena,Sí
Rodolfo Hernández Suárez,Ausente
