Nombre,Voto
Aida Marina Quilcué Vivas,Sí
María José Pizarro Rodríguez,Sí
Martha Isabel Peralta Epieyú,Sí
Julio César Estrada Cordero,Sí
Aida Yolanda Avella Esquivel,Sí
Clara Eugenia López Obregón,Sí
Jahel Quiroga Carrillo,Sí
Alejandro Alberto Vega Pérez,Sí
Alejandro Carlos Chacón Camargo,No
Claudia María Pérez Giraldo,Sí
Jaime Enrique Durán Barrera,Sí
Jhon Jairo Roldán Avendaño,Sí
Juan Diego Echavarría Sánchez,Ausente
Juan Pablo Gallo Maya,Ausente
Karina Espinosa Oliver,Sí
Laura Ester Fortich Sánchez,Sí
Lidio Arturo García Turbay,Ausente
Mauricio Gómez Amín,Ausente
Miguel Ángel Pinto Hernández,Ausente
Alex Xavier Flórez Hernández,Sí
Gloria Inés Flórez Schneider,Sí
Isabel Cristina Zuleta López,Sí
Yuly Esmeralda Hernández Silva,Sí
Alfredo Rafael Deluque Zuleta,Ausente
Antonio José Correa Jiménez,Sí
John Moisés Besaile Fayad,Sí
Jose Alfredo Gnecco Zuleta,Sí
José David Name Cardozo,Sí
Juan Carlos Garcés Rojas,Sí
Juan Felipe Lemos Uribe,Ausente
Julio Elías Chagüi Flórez,Sí
Norma Hurtado Sánchez,Ausente
Julio Alberto Elías Vidal,Sí
Ana Carolina Espitia Jerez,Sí
Andrea Padilla Villarraga,Sí
Angélica Lisbeth Lozano Correa,Ausente
Ariel Fernando Ávila Martínez,Sí
Edwing Fabián Díaz Plata,Sí
Inti Raúl Asprilla Reyes,Sí
Iván Leonidas Name Vásquez,Ausente
Jonathan Ferney Pulido Hernández,Ausente
Ana María Castañeda Gómez,Ausente
Antonio Luis Zabaraín Guevara,Ausente
Carlos Abraham Jiménez López,Ausente
Carlos Fernando Motoa Solarte,Ausente
Carlos Mario Farelo Daza,Ausente
David Andrés Luna Sanchez,Ausente
Didier Lobo Chinchilla,Ausente
Edgar Jesús Díaz Contreras,Ausente
Jorge Enrique Benedetti Martelo,Ausente
José Luis Pérez Oyuela,Ausente
Carlos Julio González Villa,Ausente
Andrés Felipe Guerra Hoyos,Ausente
Carlos Manuel Meisel Vergara,Ausente
Enrique Cabrales Baquero,Ausente
Esteban Quintero Cardona,Ausente
Honorio Miguel Henríquez Pinedo,Ausente
José Vicente Carreño Castro,Ausente
Josué Alirio Barrera Rodríguez,Ausente
María Fernanda Cabal Molina,Ausente
Miguel Uribe Turbay,Ausente
Paloma Susana Valencia Laserna,Ausente
Paola Andrea Holguín Moreno,Ausente
Yenny Esperanza Rozo Zambrano,Ausente
Beatriz Lorena Ríos Cuellar,Sí
Carlos Andrés Trujillo González,No
Diela Liliana Benavides Solarte,No
Efraín José Cepeda Sarabia,Ausente
Germán Alcides Blanco Álvarez,Ausente
José Alfredo Marín Lozano,Ausente
Juan Carlos García Gómez,Ausente
Juan Samy Merheg Marún,Ausente
Liliana Esther Bitar Castilla,Ausente
Marcos Daniel Pineda García,Ausente
Miguel Ángel Barreto Castillo,No
Nadya Georgette Blel Scaff,Ausente
Nicolás Albeiro Echeverry Alvarán,Sí
Óscar Barreto Quiroga,Ausente
Óscar Mauricio Giraldo Hernández,Sí
Soledad Tamayo Tamayo,Ausente
Carlos Eduardo Guevara Villabón,Ausente
Manuel Antonio Virguez Piraquive,Ausente
Fabio Raúl Amín Saleme,Sí
Guido Echeverry Piedrahita,Sí
Gustavo Adolfo Moreno Hurtado,Sí
Jairo Alberto Castellanos Serrano,Sí
Sor Berenice Bedoya Pérez,Ausente
Humberto De La Calle Lombana,Ausente
Imelda Daza Cotes,Sí
Julián Gallo,Sí
Omar De Jesús Restrepo,Sí
Pablo Catatumbo Torres,Sí
Sandra Lobo,Sí
Iván Cepeda Castro,Sí
Robert Daza Guevara,Sí
Sandra Yaneth Jaimes Cruz,Sí
Wilson Neber Arias Castillo,Sí
Paulino Riascos Riascos,Sí
Pedro Hernando Flórez Porras,Sí
Carlos Alberto Benavides Mora,Sí
Catalina del Socorro Pérez Pérez,Ausente
Polivio Leandro Rosales Cadena,Ausente
