Nombre,Voto
Aida Marina Quilcué Vivas,Sí
César Augusto Pachón Achury,Sí
María José Pizarro Rodríguez,Ausente
Martha Isabel Peralta Epieyú,Sí
Aida Yolanda Avella Esquivel,Sí
Clara Eugenia López Obregón,Sí
Jahel Quiroga Carrillo,Ausente
Alejandro Alberto Vega Pérez,Ausente
Alejandro Carlos Chacón Camargo,Sí
Claudia María Pérez Giraldo,Ausente
Jaime Enrique Durán Barrera,Sí
Jhon Jairo Roldán Avendaño,Sí
Juan Diego Echavarría Sánchez,Ausente
Juan Pablo Gallo Maya,Sí
Karina Espinosa Oliver,Sí
Laura Ester Fortich Sánchez,Sí
Lidio Arturo García Turbay,Ausente
Mario Alberto Castaño Pérez,Ausente
Mauricio Gómez Amín,Sí
Miguel Ángel Pinto Hernández,Ausente
Alex Xavier Flórez Hernández,Sí
Gloria Inés Flórez Schneider,Sí
Isabel Cristina Zuleta López,Sí
Yuly Esmeralda Hernández Silva,Sí
Alexander López Maya,Sí
Iván Cepeda Castro,Sí
Robert Daza Guevara,Sí
Sandra Yaneth Jaimes Cruz,Sí
Wilson Neber Arias Castillo,Sí
Alfredo Rafael Deluque Zuleta,Sí
Antonio José Correa Jiménez,Sí
Berner León Zambrano Eraso,Sí
John Moisés Besaile Fayad,Sí
Jose Alfredo Gnecco Zuleta,Sí
José David Name Cardozo,Ausente
Juan Carlos Garcés Rojas,Sí
Juan Felipe Lemos Uribe,Ausente
Julio Elías Chagüi Flórez,Ausente
Norma Hurtado Sánchez,Sí
Ana Carolina Espitia Jerez,Sí
Andrea Padilla Villarraga,Ausente
Angélica Lisbeth Lozano Correa,Ausente
Ariel Fernando Ávila Martínez,Sí
Edwing Fabián Díaz Plata,No
Inti Raúl Asprilla Reyes,Sí
Iván Leonidas Name Vásquez,Sí
Jonathan Ferney Pulido Hernández,No
Ana María Castañeda Gómez,Sí
Antonio Luis Zabaraín Guevara,No
Arturo Char Chaljub,Ausente
Carlos Abraham Jiménez López,No
Carlos Fernando Motoa Solarte,No
Carlos Mario Farelo Daza,Sí
David Andrés Luna Sanchez,No
Didier Lobo Chinchilla,No
Edgar Jesús Díaz Contreras,No
Jorge Enrique Benedetti Martelo,No
José Luis Pérez Oyuela,Ausente
Ana Paola Agudelo García,Ausente
Carlos Eduardo Guevara Villabón,Sí
Manuel Antonio Virguez Piraquive,Sí
Andrés Felipe Guerra Hoyos,Sí
Carlos Manuel Meisel Vergara,Ausente
Ciro Alejandro Ramírez Cortés,Ausente
Enrique Cabrales Baquero,Sí
Esteban Quintero Cardona,Sí
Honorio Miguel Henríquez Pinedo,Ausente
José Vicente Carreño Castro,Sí
Josué Alirio Barrera Rodríguez,Ausente
María Fernanda Cabal Molina,Ausente
Miguel Uribe Turbay,Ausente
Paloma Susana Valencia Laserna,Ausente
Paola Andrea Holguín Moreno,Ausente
Yenny Esperanza Rozo Zambrano,Ausente
Beatriz Lorena Ríos Cuellar,Ausente
Carlos Andrés Trujillo González,Ausente
Diela Liliana Benavides Solarte,Sí
Efraín José Cepeda Sarabia,Sí
Germán Alcides Blanco Álvarez,No
José Alfredo Marín Lozano,Ausente
Juan Carlos García Gómez,Sí
Juan Samy Merheg Marún,Sí
Liliana Esther Bitar Castilla,Ausente
Marcos Daniel Pineda García,Sí
Miguel Ángel Barreto Castillo,Ausente
Nadya Georgette Blel Scaff,Sí
Nicolás Albeiro Echeverry Alvarán,Sí
Óscar Barreto Quiroga,Sí
Óscar Mauricio Giraldo Hernández,Sí
Soledad Tamayo Tamayo,Ausente
Fabio Raúl Amín Saleme,Sí
Guido Echeverry Piedrahita,Sí
Gustavo Adolfo Moreno Hurtado,Sí
Jairo Alberto Castellanos Serrano,Sí
Sor Berenice Bedoya Pérez,Ausente
Gustavo Bolívar Moreno,Sí
Pedro Hernando Flórez Porras,Sí
Piedad Esneda Córdoba Ruíz,Ausente
Roy Leonarlo Barreras Montealegre,Sí
Humberto De La Calle Lombana,Sí
Imelda Daza Cotes,Sí
Julián Gallo,Sí
Omar De Jesús Restrepo,Sí
Pablo Catatumbo Torres,Sí
Sandra Lobo,Sí
Paulino Riascos Riascos,Sí
Polivio Leandro Rosales Cadena,Sí
Rodolfo Hernández Suárez,Ausente
