Nombre,Voto
Adriana Carolina Arbeláez Giraldo,Ausente
Bayardo Gilberto Betancourt Perez,Ausente
Betsy Judith Pérez Arango,Sí
Carlos Alberto Cuenca Chaux,Ausente
Gersel Luis Pérez Altamiranda,Sí
Hernando González,No
Jaime Rodríguez Contreras,No
Jairo Humberto Cristo Correa,No
Javier Alexander Sánchez Reyes,Ausente
John Edgar Pérez Rojas,Ausente
Jorge Méndez Hernández,Ausente
Julio César Triana Quintero,No
Lina María Garrido Martin,Sí
Mauricio Parodi Díaz,No
Modesto Enrique Aguilera Vides,Sí
Néstor Leonardo Rico Rico,No
Óscar Rodrigo Campo Hurtado,No
Sandra Milena Ramírez Caviedes,Sí
Victor Andrés Tovar Trujillo,Ausente
Agmeth José Escaf Tijerino,Sí
Carmen Ramírez Boscán,Ausente
David Ricardo Racero Mayorca,Sí
Jorge Andrés Cancimance López,Ausente
Jorge Hernán Bastidas Rosero,Sí
Leider Alexandra Vásquez Ochoa,Sí
María Del Mar Pizarro García,Ausente
María Fernanda Carrascal Rojas,Sí
Mary Anne Andrea Perdomo Gutiérrez,Sí
Pedro José Suárez Vacca,Sí
Susana Gómez Castaño,Ausente
Alejandro García Ríos,Sí
Carolina Giraldo Botero,Sí
Catherine Juvinao Clavijo,Sí
Cristian Danilo Avendaño Fino,Sí
Duvalier Sánchez Arango,Sí
Elkin Rodolfo Ospina Ospina,Sí
Gloria Liliana Rodríguez Valencia,Ausente
Jaime Raúl Salamanca Torres,Sí
Juan Diego Muñoz Cabrera,Sí
Luvi Katherine Miranda Peña,Sí
Martha Lisbeth Alfonso Jurado,Sí
Olga Lucía Velásquez Nieto,Sí
Santiago Osorio Marín,Sí
Wilmer Yair Castellanos Hernández,Sí
Juan Camilo Londoño Barrera,Sí
Alexander Guarín Silva,Sí
Álvaro Mauricio Londoño Lugo,Sí
Ana Paola García Soto,Sí
Astrid Sánchez Montes De Oca,Sí
Camilo Esteban Ávila Morales,Ausente
Diego Fernando Caicedo Navas,Sí
Hernando Guida Ponce,Sí
Jorge Eliécer Tamayo Marulanda,Ausente
José Eliecer Salazar López,Sí
Julián David López Tenorio,Sí
Milene Jarava Díaz,Sí
Saray Elena Robayo Bechara,Ausente
Teresa De Jesús Enríquez Rosero,Sí
Victor Manuel Salcedo Guerrero,Ausente
Wilmer Ramiro Carrillo Mendoza,Ausente
Alexander Harley Bermúdez Lasso,Sí
Álvaro Henry Monedero Rivera,Sí
Álvaro Leonel Rueda Caballero,Sí
Andrés David Calle Aguas,Sí
Aníbal Gustavo Hoyos Franco,Sí
Carlos Adolfo Ardila Espinosa,Sí
Carlos Felipe Quintero Ovalle,Sí
César Cristian Gómez Castro,Sí
Diego Patiño Amariles,Sí
Dolcey Óscar Torres Romero,Sí
